user_id,time,geo,polarity,subjectivity,wordnouns,hashtags
722481256512901120,2016-05-30 17:00,,-0.10555555555555557,0.09999999999999999,"france,italy,european economies,iwmqfvqiu",#NWO #Globalization #news #Brexit
19962224,2016-05-30 16:55,,-0.6,0.9,thought-about-it-and-aargh-i-think-brexit-is-going-to-happen-a6a24566e5c3 # .gwy2ba9ds … pic.twitter,#brexit #
326057006,2016-05-30 16:48,,-0.5,1.0,"hearing loads,sorry 's",#EUref #Brexit
371932423,2016-05-30 16:39,,0.725,0.95,"beautifully,kind,holland,ai n't,britain",#Brexit
1117822938,2016-05-30 16:30,,0.0,0.0,,#Brexit
891059384,2016-05-30 16:21,,-0.05,0.6,"leftist,liberal morals,yo girl gang,migrants migrants,community service",#Brexit
232908214,2016-05-30 16:14,"Islington, London",0.1,0.55,"brexit,uk,green directives",
239130036,2016-05-30 16:07,,0.25,0.30000000000000004,"forget,real questions",#Brexit #SewingBee
730736334252474368,2016-05-30 16:04,,0.5,0.8888888888888888,post- plan,#Brexit #Leave #Remain
379851447,2016-05-30 16:00,,0.0,0.0,"please,fb",#EU #brexit #referendum #voteleave
2469794059,2016-05-30 15:47,,0.06666666666666667,0.175,"brexit,odd squad newstatesman",#StrongerIn
585604003,2016-05-30 15:40,,0.0,0.0,pragmatic way,#Brexit #VoteLeave #TakeControl
4704367111,2016-05-30 15:39,,0.0,0.0,,#VoteLeave #Brexit
470631179,2016-05-30 15:28,,0.0,0.0,,#Brexit
2401520639,2016-05-30 15:21,,0.0,0.0,vote,#brexit
764728802,2016-05-30 15:13,,0.0,0.0,"france,italy,european union economies,and-italy-next-economic-crash-europe-a7054801.html …",#Brexit
67879486,2016-05-30 15:09,,0.0,0.0,"fight,fear,bullsh*t. …",#LeaveEU #Labour #UKIP #Brexit #Cameron #EUref #VoteIn #StrongerIn #VoteLeave #Tories #EU
16884804,2016-05-30 15:02,,0.0,0.1,"eu referendum,catholic vs,protestant",#Remain #Brexit #EUref
329121956,2016-05-30 14:52,,0.0,0.0,"batting boris,chester-le-street cricket,brexit",
170736896,2016-05-30 14:47,,0.3,0.45,"sensible opinion,young people",#Brexit #EUref
2427708320,2016-05-30 14:43,,-0.5,1.0,"sad,article |,ian birrell",#xenophobic #Brexit
18640261,2016-05-30 14:40,,0.0,0.0,"visit,brexit,albanian,migrant rescue,eighteen albanian,migrants rescu ...",
29810191,2016-05-30 14:32,,-0.2,0.05,"brexit,ca n't,shake-it-all-about",
769726807,2016-05-30 14:25,,0.0,0.0,"icymi,md,brexit,accident victims",
32480615,2016-05-30 14:21,,0.0,0.0,"eu,european council,eu",#Brexit
3136162829,2016-05-30 14:13,,0.1,0.55,"brexit,uk,green directives,minister |,politics,guardian",
3000550486,2016-05-30 14:07,,0.0,0.0,"rt,out,in",#VoteLeave #LeaveEU #Brexit
96731588,2016-05-30 13:55,,0.0,0.0,xation-and-the-uk-financial-sector… pic.twitter,#Brexit #tax #financial #EU
733271962672373761,2016-05-30 13:51,,0.0,0.0,"official song,'should i stay",#EU #referendum #brexit #bremain
1074774114,2016-05-30 13:42,,-0.2,0.3,"brexit,travellers | letters,g eur",
161361680,2016-05-30 13:41,,0.20000000000000004,0.47500000000000003,"brexit,independent broker,activtrades,free online webinar… …",
2690377522,2016-05-30 13:33,,0.16944444444444443,0.4305555555555555,"great news,local farmers …",#Brexit #Somerset
21930401,2016-05-30 13:21,,-0.20000000000000004,0.5666666666666667,"brexit,whole shenanigans,euref,personal grievances",
401302010,2016-05-30 13:16,,0.0,0.0,"case,brexit part,democracy",#Brexit
3245255440,2016-05-30 13:07,,0.0,0.5,joke pic.twitter,#Brexit
41093168,2016-05-30 12:57,,0.0,0.0,"si,grèce,fait faillite,que les anglais votent,brexit l'été va être sympa coté finance",
2236655070,2016-05-30 19:45,,0.0,0.0,"'i ca n't,woman,brexit,hometown changes",
720733526761598976,2016-05-30 19:37,,0.0,0.0,"pm,taoiseach",#Ireland #Irish #UK #Brexit #PhoneAFriend #Bremain
274669749,2016-05-30 19:32,,0.0,0.0,"lansdowne partners,brexit,eu",
555337622,2016-05-30 19:21,,0.1,0.55,"brexit,uk,green directives",
144737971,2016-05-30 19:15,,-0.4,0.6,"warning,migrant,eu,britons billions,xit-warning-migrant-crisis-to-get-worse-and-eu-to-cost-britons-billions-if-we-stay/ # .v0zjjwmlpuy.twitter …",#BREXIT # #migrantcrisis
19111502,2016-05-30 19:07,,0.0,0.0,"nuclear demands,illinois carbon subsidies",#AmberRudd #Brexit #UK #climatehoax
329836709,2016-05-30 18:50,,0.0,0.0,"eu’re,sugar,britain,‘the mugs,remain",#Brexit #UKRef
20030073,2016-05-30 18:39,,1.0,1.0,"farrage,excellent argument,our",#VoteLeave #EUreferendum #Brexit #BetterOffOut
3846093279,2016-05-30 18:38,,0.0,0.0,"brexit,close,voting begins,days…",
87818409,2016-05-30 18:19,,0.022222222222222213,0.34444444444444444,whole ship,#EU #Brexit
330717019,2016-05-30 18:07,,0.0,0.0,"goldman sachs int,bilderberg",#VoteLeave #Brexit
23186695,2016-05-30 18:03,,0.0,0.125,"brexit,farage,germany",
130164336,2016-05-30 17:59,,0.35,0.55,"good thing,hope,ban garlic",#Brexit
731459657169031168,2016-05-30 17:48,,0.0,0.0,"err,try,rubbish ...",#brexit
1617457322,2016-05-30 17:39,,0.0,1.0,"final,brexit,six-point lead",
67417907,2016-05-30 17:29,,0.0,0.0,facebook,#Brexit
3344564308,2016-05-30 17:22,,-0.2,0.44999999999999996,"remainers,low wages",#BREXIT
22395224,2016-05-30 17:16,,0.0,0.8125,"entire uk,horticultural industry relies,seasonal workers",#brexit
115969061,2016-05-30 17:15,,-0.15,0.4,"tory_headlines,labour,party 's stance,brexit,guardian",
328484372,2016-05-30 17:09,,-0.5,0.5625,pathetic,#Brexit
722481256512901120,2016-05-30 17:00,,-0.10555555555555557,0.09999999999999999,"france,italy,european economies,iwmqfvqiu",#NWO #Globalization #news #Brexit
19962224,2016-05-30 16:55,,-0.6,0.9,thought-about-it-and-aargh-i-think-brexit-is-going-to-happen-a6a24566e5c3 # .gwy2ba9ds … pic.twitter,#brexit #
326057006,2016-05-30 16:48,,-0.5,1.0,"hearing loads,sorry 's",#EUref #Brexit
371932423,2016-05-30 16:39,,0.725,0.95,"beautifully,kind,holland,ai n't,britain",#Brexit
